ride_id,drone_id,timestamp,location,weather_conditions
RIDE43,DRONE9,2024-08-20T11:00:00,Midtown,Clear
RIDE44,DRONE2,2024-08-01T15:00:00,Downtown,Storm
RIDE45,DRONE15,2024-08-07T03:00:00,Midtown,Wind
RIDE46,DRONE18,2024-08-18T11:00:00,Midtown,Rain
RIDE47,DRONE4,2024-08-28T22:00:00,Uptown,Storm
RIDE48,DRONE13,2024-08-07T14:00:00,Uptown,Clear
RIDE49,DRONE3,2024-08-04T04:00:00,Midtown,Clear
RIDE50,DRONE18,2024-08-21T00:00:00,Uptown,Clear
RIDE51,DRONE10,2024-08-12T07:00:00,Downtown,Rain
RIDE52,DRONE20,2024-08-15T10:00:00,Uptown,Storm
RIDE53,DRONE12,2024-08-27T14:00:00,Uptown,Clear
RIDE54,DRONE19,2024-08-30T13:00:00,Uptown,Rain
RIDE55,DRONE7,2024-08-17T23:00:00,Suburb,Fog
RIDE56,DRONE3,2024-08-28T17:00:00,Downtown,Rain
RIDE57,DRONE2,2024-08-04T10:00:00,Midtown,Fog
RIDE58,DRONE8,2024-08-15T00:00:00,Midtown,Storm
RIDE59,DRONE10,2024-08-29T18:00:00,Suburb,Clear
RIDE60,DRONE3,2024-08-23T18:00:00,Uptown,Clear
RIDE61,DRONE8,2024-08-17T05:00:00,Downtown,Wind
RIDE62,DRONE4,2024-08-14T12:00:00,Downtown,Clear
RIDE63,DRONE13,2024-08-27T17:00:00,Midtown,Storm
RIDE64,DRONE9,2024-08-21T19:00:00,Suburb,Rain
RIDE65,DRONE15,2024-08-24T02:00:00,Suburb,Storm
RIDE66,DRONE12,2024-08-02T12:00:00,Suburb,Clear
RIDE67,DRONE6,2024-08-27T08:00:00,Suburb,Rain
RIDE68,DRONE12,2024-08-03T22:00:00,Downtown,Storm
RIDE69,DRONE12,2024-08-11T00:00:00,Uptown,Clear
RIDE70,DRONE7,2024-08-27T22:00:00,Midtown,Clear
RIDE71,DRONE9,2024-08-30T04:00:00,Downtown,Clear
RIDE72,DRONE3,2024-08-13T06:00:00,Suburb,Wind
RIDE73,DRONE20,2024-08-10T16:00:00,Suburb,Wind
RIDE74,DRONE6,2024-08-04T20:00:00,Midtown,Wind
RIDE75,DRONE18,2024-08-19T12:00:00,Uptown,Rain
RIDE76,DRONE8,2024-08-05T04:00:00,Uptown,Storm
RIDE77,DRONE6,2024-08-28T00:00:00,Uptown,Rain
RIDE78,DRONE15,2024-08-31T00:00:00,Suburb,Rain
RIDE79,DRONE13,2024-08-05T06:00:00,Downtown,Clear
RIDE80,DRONE9,2024-08-19T22:00:00,Downtown,Fog
RIDE81,DRONE18,2024-08-08T02:00:00,Uptown,Fog
RIDE82,DRONE8,2024-08-30T14:00:00,Midtown,Clear
RIDE83,DRONE11,2024-08-13T18:00:00,Uptown,Fog
RIDE84,DRONE2,2024-08-02T05:00:00,Uptown,Rain
RIDE85,DRONE8,2024-08-02T23:00:00,Midtown,Storm
RIDE86,DRONE2,2024-08-14T20:00:00,Uptown,Wind
RIDE87,DRONE11,2024-08-03T09:00:00,Midtown,Rain
RIDE88,DRONE13,2024-08-13T12:00:00,Midtown,Rain
RIDE89,DRONE9,2024-08-16T07:00:00,Downtown,Storm
RIDE90,DRONE3,2024-08-16T23:00:00,Midtown,Fog
RIDE91,DRONE7,2024-08-19T09:00:00,Uptown,Storm
RIDE92,DRONE19,2024-08-07T05:00:00,Midtown,Rain
RIDE93,DRONE11,2024-08-11T10:00:00,Uptown,Clear
RIDE94,DRONE7,2024-08-23T15:00:00,Midtown,Clear
RIDE95,DRONE16,2024-08-18T13:00:00,Downtown,Rain
RIDE96,DRONE13,2024-08-25T03:00:00,Uptown,Clear
RIDE97,DRONE15,2024-08-30T02:00:00,Uptown,Fog
RIDE98,DRONE5,2024-08-08T16:00:00,Uptown,Storm
RIDE99,DRONE9,2024-08-08T06:00:00,Midtown,Wind
RIDE100,DRONE5,2024-08-08T11:00:00,Downtown,Storm
RIDE101,DRONE8,2024-08-04T08:00:00,Downtown,Wind
RIDE102,DRONE18,2024-08-27T00:00:00,Downtown,Rain
RIDE103,DRONE18,2024-08-17T07:00:00,Downtown,Rain
RIDE104,DRONE9,2024-08-27T10:00:00,Midtown,Wind
RIDE105,DRONE19,2024-08-30T03:00:00,Uptown,Clear
RIDE106,DRONE14,2024-08-11T06:00:00,Suburb,Rain
RIDE107,DRONE19,2024-08-22T05:00:00,Downtown,Fog
RIDE108,DRONE13,2024-08-25T21:00:00,Suburb,Fog
RIDE109,DRONE12,2024-08-07T02:00:00,Midtown,Fog
RIDE110,DRONE8,2024-08-10T21:00:00,Midtown,Fog
RIDE111,DRONE5,2024-08-20T16:00:00,Suburb,Wind
RIDE112,DRONE17,2024-08-28T05:00:00,Uptown,Clear
RIDE113,DRONE16,2024-08-11T20:00:00,Suburb,Wind
RIDE114,DRONE3,2024-08-20T14:00:00,Midtown,Rain
RIDE115,DRONE2,2024-08-11T21:00:00,Suburb,Fog
RIDE116,DRONE4,2024-08-29T10:00:00,Downtown,Fog
RIDE117,DRONE5,2024-08-01T09:00:00,Downtown,Fog
RIDE118,DRONE6,2024-08-20T20:00:00,Uptown,Rain
RIDE119,DRONE14,2024-08-13T06:00:00,Suburb,Storm
RIDE120,DRONE20,2024-08-29T21:00:00,Suburb,Wind
RIDE121,DRONE3,2024-08-24T07:00:00,Suburb,Clear
RIDE122,DRONE13,2024-08-07T17:00:00,Suburb,Rain
RIDE123,DRONE13,2024-08-04T03:00:00,Uptown,Storm
RIDE124,DRONE20,2024-08-19T20:00:00,Midtown,Storm
RIDE125,DRONE15,2024-08-15T17:00:00,Uptown,Clear
RIDE126,DRONE17,2024-08-26T01:00:00,Midtown,Rain
RIDE127,DRONE9,2024-08-13T18:00:00,Midtown,Storm
RIDE128,DRONE18,2024-08-28T06:00:00,Midtown,Fog
RIDE129,DRONE1,2024-08-19T02:00:00,Suburb,Clear
RIDE130,DRONE4,2024-08-30T10:00:00,Uptown,Fog
RIDE131,DRONE18,2024-08-11T16:00:00,Midtown,Clear
RIDE132,DRONE9,2024-08-20T11:00:00,Downtown,Wind
RIDE133,DRONE11,2024-08-13T21:00:00,Midtown,Wind
RIDE134,DRONE4,2024-08-09T11:00:00,Uptown,Rain
RIDE135,DRONE10,2024-08-17T09:00:00,Suburb,Storm
RIDE136,DRONE14,2024-08-21T14:00:00,Downtown,Fog
RIDE137,DRONE6,2024-08-05T13:00:00,Midtown,Storm
RIDE138,DRONE15,2024-08-11T02:00:00,Suburb,Wind
RIDE139,DRONE1,2024-08-17T06:00:00,Uptown,Fog
RIDE140,DRONE9,2024-08-25T09:00:00,Uptown,Rain
RIDE141,DRONE17,2024-08-16T07:00:00,Downtown,Storm
RIDE142,DRONE6,2024-08-25T12:00:00,Downtown,Clear
RIDE143,DRONE17,2024-08-13T14:00:00,Midtown,Clear
RIDE144,DRONE4,2024-08-30T20:00:00,Suburb,Fog
RIDE145,DRONE10,2024-08-13T14:00:00,Suburb,Clear
RIDE146,DRONE17,2024-08-01T22:00:00,Uptown,Clear
RIDE147,DRONE20,2024-08-29T02:00:00,Uptown,Wind
RIDE148,DRONE7,2024-08-17T21:00:00,Midtown,Rain
RIDE149,DRONE5,2024-08-12T17:00:00,Midtown,Clear
RIDE150,DRONE12,2024-08-01T08:00:00,Uptown,Clear
RIDE151,DRONE6,2024-08-25T03:00:00,Uptown,Storm
RIDE152,DRONE18,2024-08-30T06:00:00,Suburb,Fog
RIDE153,DRONE17,2024-08-03T02:00:00,Suburb,Wind
RIDE154,DRONE1,2024-08-26T20:00:00,Suburb,Fog
RIDE155,DRONE20,2024-08-22T04:00:00,Midtown,Storm
RIDE156,DRONE11,2024-08-13T05:00:00,Suburb,Storm
RIDE157,DRONE16,2024-08-10T19:00:00,Downtown,Storm
RIDE158,DRONE1,2024-08-26T21:00:00,Downtown,Clear
RIDE159,DRONE4,2024-08-16T00:00:00,Suburb,Fog
RIDE160,DRONE12,2024-08-10T08:00:00,Suburb,Fog
RIDE161,DRONE10,2024-08-28T03:00:00,Uptown,Fog
RIDE162,DRONE8,2024-08-09T02:00:00,Uptown,Rain
RIDE163,DRONE2,2024-08-27T11:00:00,Midtown,Wind
RIDE164,DRONE8,2024-08-11T16:00:00,Downtown,Clear
RIDE165,DRONE19,2024-08-29T22:00:00,Downtown,Wind
RIDE166,DRONE3,2024-08-29T03:00:00,Midtown,Clear
RIDE167,DRONE3,2024-08-30T01:00:00,Suburb,Fog
RIDE168,DRONE16,2024-08-06T20:00:00,Suburb,Rain
RIDE169,DRONE3,2024-08-27T19:00:00,Midtown,Rain
RIDE170,DRONE18,2024-08-05T03:00:00,Downtown,Fog
RIDE171,DRONE5,2024-08-27T18:00:00,Downtown,Wind
RIDE172,DRONE5,2024-08-28T13:00:00,Suburb,Storm
RIDE173,DRONE16,2024-08-02T16:00:00,Uptown,Fog
RIDE174,DRONE18,2024-08-14T04:00:00,Midtown,Clear
RIDE175,DRONE6,2024-08-19T19:00:00,Midtown,Wind
RIDE176,DRONE9,2024-08-02T10:00:00,Suburb,Storm
RIDE177,DRONE17,2024-08-25T17:00:00,Midtown,Rain
RIDE178,DRONE20,2024-08-16T13:00:00,Downtown,Clear
RIDE179,DRONE14,2024-08-06T14:00:00,Suburb,Rain
RIDE180,DRONE7,2024-08-04T20:00:00,Downtown,Clear
RIDE181,DRONE18,2024-08-13T14:00:00,Uptown,Storm
RIDE182,DRONE7,2024-08-14T22:00:00,Midtown,Clear
RIDE183,DRONE10,2024-08-18T17:00:00,Midtown,Storm
RIDE184,DRONE13,2024-08-08T11:00:00,Downtown,Fog
RIDE185,DRONE12,2024-08-09T13:00:00,Suburb,Fog
RIDE186,DRONE15,2024-08-06T15:00:00,Suburb,Clear
RIDE187,DRONE17,2024-08-24T00:00:00,Midtown,Wind
RIDE188,DRONE15,2024-08-16T14:00:00,Downtown,Rain
RIDE189,DRONE4,2024-08-23T15:00:00,Uptown,Clear
RIDE190,DRONE8,2024-08-22T09:00:00,Downtown,Clear
RIDE191,DRONE8,2024-08-12T15:00:00,Suburb,Rain
RIDE192,DRONE3,2024-08-08T00:00:00,Midtown,Clear
RIDE193,DRONE11,2024-08-11T23:00:00,Midtown,Rain
RIDE194,DRONE1,2024-08-21T13:00:00,Midtown,Storm
RIDE195,DRONE19,2024-08-13T14:00:00,Uptown,Wind
RIDE196,DRONE18,2024-08-15T10:00:00,Uptown,Fog
RIDE197,DRONE8,2024-08-05T21:00:00,Suburb,Fog
RIDE198,DRONE19,2024-08-20T23:00:00,Downtown,Wind
RIDE199,DRONE8,2024-08-04T05:00:00,Downtown,Rain
RIDE200,DRONE1,2024-08-07T00:00:00,Downtown,Wind
RIDE201,DRONE3,2024-08-10T15:00:00,Uptown,Rain
RIDE202,DRONE2,2024-08-29T20:00:00,Midtown,Wind
RIDE203,DRONE8,2024-08-29T18:00:00,Suburb,Clear
RIDE204,DRONE3,2024-08-17T22:00:00,Suburb,Clear
RIDE205,DRONE2,2024-08-24T18:00:00,Uptown,Wind
RIDE206,DRONE11,2024-08-16T14:00:00,Uptown,Storm
RIDE207,DRONE3,2024-08-04T20:00:00,Midtown,Wind
RIDE208,DRONE17,2024-08-17T20:00:00,Midtown,Fog
RIDE209,DRONE8,2024-08-01T14:00:00,Uptown,Clear
RIDE210,DRONE9,2024-08-12T06:00:00,Suburb,Wind
RIDE211,DRONE16,2024-08-23T21:00:00,Midtown,Fog
RIDE212,DRONE7,2024-08-06T06:00:00,Midtown,Clear
RIDE213,DRONE18,2024-08-20T09:00:00,Suburb,Storm
RIDE214,DRONE5,2024-08-16T17:00:00,Midtown,Storm
RIDE215,DRONE19,2024-08-29T16:00:00,Suburb,Fog
RIDE216,DRONE19,2024-08-29T16:00:00,Downtown,Wind
RIDE217,DRONE16,2024-08-12T04:00:00,Midtown,Clear
RIDE218,DRONE8,2024-08-25T22:00:00,Midtown,Storm
RIDE219,DRONE16,2024-08-17T06:00:00,Downtown,Fog
RIDE220,DRONE14,2024-08-28T05:00:00,Suburb,Rain
RIDE221,DRONE7,2024-08-16T20:00:00,Midtown,Wind
RIDE222,DRONE4,2024-08-05T14:00:00,Downtown,Rain
RIDE223,DRONE4,2024-08-29T19:00:00,Suburb,Wind
RIDE224,DRONE14,2024-08-10T23:00:00,Midtown,Clear
RIDE225,DRONE12,2024-08-21T02:00:00,Uptown,Fog
RIDE226,DRONE14,2024-08-02T01:00:00,Downtown,Clear
RIDE227,DRONE14,2024-08-27T10:00:00,Suburb,Rain
RIDE228,DRONE15,2024-08-24T22:00:00,Uptown,Fog
RIDE229,DRONE2,2024-08-14T23:00:00,Suburb,Clear
RIDE230,DRONE4,2024-08-27T00:00:00,Uptown,Clear
RIDE231,DRONE2,2024-08-10T10:00:00,Uptown,Clear
RIDE232,DRONE13,2024-08-28T15:00:00,Downtown,Rain
RIDE233,DRONE11,2024-08-03T16:00:00,Downtown,Clear
RIDE234,DRONE4,2024-08-28T02:00:00,Uptown,Storm
RIDE235,DRONE8,2024-08-20T19:00:00,Downtown,Wind
RIDE236,DRONE7,2024-08-30T21:00:00,Suburb,Storm
RIDE237,DRONE7,2024-08-13T21:00:00,Midtown,Rain
RIDE238,DRONE18,2024-08-28T16:00:00,Suburb,Rain
RIDE239,DRONE15,2024-08-18T10:00:00,Uptown,Clear
RIDE240,DRONE5,2024-08-05T23:00:00,Suburb,Fog
RIDE241,DRONE14,2024-08-06T23:00:00,Uptown,Storm
RIDE242,DRONE6,2024-08-02T22:00:00,Suburb,Rain
RIDE243,DRONE9,2024-08-02T14:00:00,Suburb,Wind
RIDE244,DRONE15,2024-08-13T23:00:00,Downtown,Rain
RIDE245,DRONE8,2024-08-22T00:00:00,Uptown,Storm
RIDE246,DRONE3,2024-08-05T22:00:00,Uptown,Wind
RIDE247,DRONE15,2024-08-05T03:00:00,Midtown,Wind
RIDE248,DRONE18,2024-08-11T00:00:00,Suburb,Clear
RIDE249,DRONE4,2024-08-23T22:00:00,Suburb,Fog
RIDE250,DRONE2,2024-08-06T18:00:00,Midtown,Wind
RIDE251,DRONE18,2024-08-17T13:00:00,Uptown,Clear
RIDE252,DRONE1,2024-08-20T08:00:00,Suburb,Fog
RIDE253,DRONE3,2024-08-16T19:00:00,Midtown,Clear
RIDE254,DRONE8,2024-08-29T14:00:00,Midtown,Rain
RIDE255,DRONE6,2024-08-30T17:00:00,Midtown,Rain
RIDE256,DRONE14,2024-08-24T01:00:00,Suburb,Fog
RIDE257,DRONE16,2024-08-18T21:00:00,Uptown,Clear
RIDE258,DRONE16,2024-08-26T01:00:00,Uptown,Storm
RIDE259,DRONE7,2024-08-07T14:00:00,Midtown,Clear
RIDE260,DRONE13,2024-08-18T16:00:00,Midtown,Storm
RIDE261,DRONE2,2024-08-28T22:00:00,Uptown,Wind
RIDE262,DRONE6,2024-08-05T05:00:00,Midtown,Wind
RIDE263,DRONE13,2024-08-21T21:00:00,Midtown,Wind
RIDE264,DRONE1,2024-08-27T06:00:00,Uptown,Clear
RIDE265,DRONE13,2024-08-18T09:00:00,Suburb,Fog
RIDE266,DRONE9,2024-08-12T22:00:00,Midtown,Storm
RIDE267,DRONE15,2024-08-02T09:00:00,Suburb,Clear
RIDE268,DRONE10,2024-08-30T10:00:00,Midtown,Wind
RIDE269,DRONE14,2024-08-16T19:00:00,Midtown,Rain
RIDE270,DRONE18,2024-08-10T06:00:00,Midtown,Wind
RIDE271,DRONE16,2024-08-19T22:00:00,Downtown,Fog
RIDE272,DRONE5,2024-08-19T23:00:00,Suburb,Wind
RIDE273,DRONE7,2024-08-11T01:00:00,Suburb,Fog
RIDE274,DRONE10,2024-08-16T11:00:00,Midtown,Rain
RIDE275,DRONE7,2024-08-05T05:00:00,Uptown,Storm
RIDE276,DRONE2,2024-08-30T06:00:00,Midtown,Wind
RIDE277,DRONE19,2024-08-16T16:00:00,Downtown,Fog
RIDE278,DRONE18,2024-08-24T05:00:00,Midtown,Storm
RIDE279,DRONE2,2024-08-28T12:00:00,Downtown,Rain
RIDE280,DRONE11,2024-08-16T07:00:00,Midtown,Fog
RIDE281,DRONE2,2024-08-03T14:00:00,Suburb,Rain
RIDE282,DRONE2,2024-08-17T23:00:00,Midtown,Rain
RIDE283,DRONE19,2024-08-12T18:00:00,Suburb,Clear
RIDE284,DRONE16,2024-08-09T02:00:00,Uptown,Storm
RIDE285,DRONE17,2024-08-06T05:00:00,Uptown,Clear
RIDE286,DRONE17,2024-08-20T09:00:00,Midtown,Rain
RIDE287,DRONE6,2024-08-04T21:00:00,Midtown,Fog
RIDE288,DRONE2,2024-08-29T06:00:00,Uptown,Wind
RIDE289,DRONE17,2024-08-10T01:00:00,Downtown,Clear
RIDE290,DRONE3,2024-08-28T09:00:00,Uptown,Wind
RIDE291,DRONE6,2024-08-28T06:00:00,Uptown,Clear
RIDE292,DRONE3,2024-08-26T11:00:00,Downtown,Storm
RIDE293,DRONE20,2024-08-01T21:00:00,Uptown,Wind
RIDE294,DRONE3,2024-08-03T03:00:00,Uptown,Clear
RIDE295,DRONE8,2024-08-15T05:00:00,Downtown,Rain
RIDE296,DRONE13,2024-08-11T09:00:00,Downtown,Fog
RIDE297,DRONE4,2024-08-06T08:00:00,Suburb,Rain
RIDE298,DRONE19,2024-08-25T02:00:00,Midtown,Storm
RIDE299,DRONE8,2024-08-09T18:00:00,Suburb,Storm
RIDE300,DRONE19,2024-08-03T22:00:00,Downtown,Clear
RIDE301,DRONE20,2024-08-24T15:00:00,Uptown,Rain
RIDE302,DRONE2,2024-08-09T20:00:00,Downtown,Wind
RIDE303,DRONE20,2024-08-26T00:00:00,Uptown,Clear
RIDE304,DRONE3,2024-08-10T05:00:00,Suburb,Clear
RIDE305,DRONE14,2024-08-10T22:00:00,Suburb,Rain
RIDE306,DRONE19,2024-08-15T00:00:00,Suburb,Fog
RIDE307,DRONE19,2024-08-07T07:00:00,Uptown,Storm
RIDE308,DRONE17,2024-08-26T10:00:00,Midtown,Wind
RIDE309,DRONE11,2024-08-01T02:00:00,Midtown,Storm
RIDE310,DRONE9,2024-08-12T19:00:00,Midtown,Clear
RIDE311,DRONE7,2024-08-07T04:00:00,Downtown,Fog
RIDE312,DRONE11,2024-08-06T13:00:00,Downtown,Clear
RIDE313,DRONE8,2024-08-24T01:00:00,Uptown,Fog
RIDE314,DRONE9,2024-08-11T16:00:00,Downtown,Rain
RIDE315,DRONE13,2024-08-08T10:00:00,Uptown,Storm
RIDE316,DRONE5,2024-08-05T16:00:00,Suburb,Clear
RIDE317,DRONE10,2024-08-29T04:00:00,Uptown,Fog
RIDE318,DRONE15,2024-08-02T02:00:00,Downtown,Fog
RIDE319,DRONE11,2024-08-06T14:00:00,Suburb,Clear
RIDE320,DRONE3,2024-08-01T15:00:00,Suburb,Storm
RIDE321,DRONE1,2024-08-16T06:00:00,Uptown,Rain
RIDE322,DRONE15,2024-08-11T03:00:00,Midtown,Rain
RIDE323,DRONE20,2024-08-26T02:00:00,Downtown,Wind
RIDE324,DRONE19,2024-08-14T19:00:00,Downtown,Wind
RIDE325,DRONE4,2024-08-01T16:00:00,Midtown,Wind
RIDE326,DRONE3,2024-08-08T10:00:00,Downtown,Storm
RIDE327,DRONE18,2024-08-12T07:00:00,Midtown,Wind
RIDE328,DRONE7,2024-08-03T05:00:00,Midtown,Wind
RIDE329,DRONE17,2024-08-06T09:00:00,Suburb,Storm
RIDE330,DRONE9,2024-08-18T23:00:00,Suburb,Wind
RIDE331,DRONE5,2024-08-23T10:00:00,Uptown,Rain
RIDE332,DRONE12,2024-08-05T20:00:00,Suburb,Clear
RIDE333,DRONE3,2024-08-03T17:00:00,Midtown,Rain
RIDE334,DRONE8,2024-08-21T07:00:00,Uptown,Rain
RIDE335,DRONE12,2024-08-20T03:00:00,Downtown,Fog
RIDE336,DRONE10,2024-08-16T10:00:00,Midtown,Clear
RIDE337,DRONE6,2024-08-22T21:00:00,Uptown,Rain
RIDE338,DRONE15,2024-08-26T07:00:00,Suburb,Clear
RIDE339,DRONE18,2024-08-05T15:00:00,Midtown,Rain
RIDE340,DRONE10,2024-08-20T06:00:00,Uptown,Storm
RIDE341,DRONE20,2024-08-22T11:00:00,Downtown,Storm
RIDE342,DRONE17,2024-08-10T10:00:00,Midtown,Wind
RIDE343,DRONE1,2024-08-27T05:00:00,Midtown,Storm
RIDE344,DRONE18,2024-08-02T20:00:00,Uptown,Clear
RIDE345,DRONE10,2024-08-29T02:00:00,Uptown,Fog
RIDE346,DRONE4,2024-08-23T05:00:00,Suburb,Wind
RIDE347,DRONE5,2024-08-13T20:00:00,Suburb,Rain
RIDE348,DRONE9,2024-08-20T13:00:00,Midtown,Storm
RIDE349,DRONE4,2024-08-28T10:00:00,Downtown,Wind
RIDE350,DRONE4,2024-08-02T07:00:00,Suburb,Storm
RIDE351,DRONE18,2024-08-03T14:00:00,Downtown,Wind
RIDE352,DRONE5,2024-08-21T10:00:00,Uptown,Clear
RIDE353,DRONE9,2024-08-18T03:00:00,Uptown,Clear
RIDE354,DRONE10,2024-08-19T04:00:00,Suburb,Rain
RIDE355,DRONE20,2024-08-30T06:00:00,Midtown,Wind
RIDE356,DRONE7,2024-08-05T14:00:00,Uptown,Fog
RIDE357,DRONE11,2024-08-21T22:00:00,Downtown,Clear
RIDE358,DRONE7,2024-08-19T22:00:00,Midtown,Rain
RIDE359,DRONE9,2024-08-04T03:00:00,Suburb,Wind
RIDE360,DRONE17,2024-08-04T10:00:00,Uptown,Rain
RIDE361,DRONE16,2024-08-14T17:00:00,Suburb,Clear
RIDE362,DRONE9,2024-08-26T22:00:00,Midtown,Rain
RIDE363,DRONE2,2024-08-07T07:00:00,Midtown,Wind
RIDE364,DRONE3,2024-08-03T19:00:00,Midtown,Storm
RIDE365,DRONE14,2024-08-06T09:00:00,Downtown,Fog
RIDE366,DRONE9,2024-08-12T17:00:00,Midtown,Clear
RIDE367,DRONE2,2024-08-27T15:00:00,Midtown,Wind
RIDE368,DRONE1,2024-08-28T00:00:00,Uptown,Wind
RIDE369,DRONE11,2024-08-25T23:00:00,Downtown,Rain
RIDE370,DRONE5,2024-08-24T09:00:00,Downtown,Clear
RIDE371,DRONE9,2024-08-14T20:00:00,Suburb,Storm
RIDE372,DRONE6,2024-08-17T06:00:00,Midtown,Storm
RIDE373,DRONE15,2024-08-26T11:00:00,Uptown,Fog
RIDE374,DRONE18,2024-08-23T15:00:00,Suburb,Fog
RIDE375,DRONE14,2024-08-13T13:00:00,Midtown,Rain
RIDE376,DRONE18,2024-08-20T08:00:00,Downtown,Clear
RIDE377,DRONE1,2024-08-22T13:00:00,Midtown,Storm
RIDE378,DRONE4,2024-08-26T19:00:00,Midtown,Clear
RIDE379,DRONE3,2024-08-19T08:00:00,Uptown,Rain
RIDE380,DRONE5,2024-08-05T05:00:00,Uptown,Clear
RIDE381,DRONE18,2024-08-30T22:00:00,Uptown,Clear
RIDE382,DRONE2,2024-08-05T21:00:00,Suburb,Clear
RIDE383,DRONE12,2024-08-28T22:00:00,Uptown,Rain
RIDE384,DRONE19,2024-08-28T18:00:00,Suburb,Rain
RIDE385,DRONE18,2024-08-24T12:00:00,Midtown,Rain
RIDE386,DRONE5,2024-08-10T04:00:00,Suburb,Storm
RIDE387,DRONE14,2024-08-19T08:00:00,Suburb,Wind
RIDE388,DRONE5,2024-08-20T06:00:00,Uptown,Clear
RIDE389,DRONE2,2024-08-10T17:00:00,Uptown,Fog
RIDE390,DRONE10,2024-08-18T15:00:00,Downtown,Fog
RIDE391,DRONE12,2024-08-15T11:00:00,Suburb,Wind
RIDE392,DRONE2,2024-08-20T08:00:00,Midtown,Clear
RIDE393,DRONE12,2024-08-18T00:00:00,Downtown,Clear
RIDE394,DRONE7,2024-08-18T17:00:00,Downtown,Clear
RIDE395,DRONE8,2024-08-05T01:00:00,Downtown,Rain
RIDE396,DRONE4,2024-08-14T08:00:00,Uptown,Storm
RIDE397,DRONE12,2024-08-19T05:00:00,Uptown,Rain
RIDE398,DRONE18,2024-08-14T08:00:00,Uptown,Clear
RIDE399,DRONE14,2024-08-29T09:00:00,Midtown,Wind
RIDE400,DRONE20,2024-08-11T21:00:00,Suburb,Clear
RIDE401,DRONE5,2024-08-16T23:00:00,Downtown,Clear
RIDE402,DRONE8,2024-08-07T12:00:00,Uptown,Storm
RIDE403,DRONE6,2024-08-30T07:00:00,Suburb,Clear
RIDE404,DRONE6,2024-08-21T05:00:00,Downtown,Rain
RIDE405,DRONE14,2024-08-03T20:00:00,Suburb,Fog
RIDE406,DRONE1,2024-08-04T21:00:00,Downtown,Storm
RIDE407,DRONE6,2024-08-04T15:00:00,Suburb,Storm
RIDE408,DRONE11,2024-08-04T23:00:00,Uptown,Storm
RIDE409,DRONE14,2024-08-19T10:00:00,Suburb,Clear
RIDE410,DRONE8,2024-08-05T02:00:00,Suburb,Storm
